SYMBOL,TIME,PRICE
BTCBUSD,2021_02_27__21_36_49,47138
BTCBUSD,2021_02_27__21_36_50,47138
BTCBUSD,2021_02_27__21_36_51,47138
BTCBUSD,2021_02_27__21_36_52,47138
BTCBUSD,2021_02_27__21_36_53,47140
BTCBUSD,2021_02_27__21_36_54,47140
BTCBUSD,2021_02_27__21_36_55,47140
BTCBUSD,2021_02_27__21_36_56,47143
BTCBUSD,2021_02_27__21_36_57,47141
BTCBUSD,2021_02_27__21_36_58,47141
BTCBUSD,2021_02_27__21_36_59,47134
BTCBUSD,2021_02_27__21_37_00,47134
BTCBUSD,2021_02_27__21_37_01,47132
BTCBUSD,2021_02_27__21_37_02,47123
BTCBUSD,2021_02_27__21_37_03,47123
BTCBUSD,2021_02_27__21_37_04,47123
BTCBUSD,2021_02_27__21_37_05,47123
BTCBUSD,2021_02_27__21_37_06,47127
BTCBUSD,2021_02_27__21_37_07,47127
BTCBUSD,2021_02_27__21_37_08,47125
BTCBUSD,2021_02_27__21_37_09,47125
BTCBUSD,2021_02_27__21_37_10,47125
BTCBUSD,2021_02_27__21_37_11,47125
BTCBUSD,2021_02_27__21_37_12,47118
BTCBUSD,2021_02_27__21_37_13,47126
BTCBUSD,2021_02_27__21_37_14,47126
BTCBUSD,2021_02_27__21_37_15,47137
BTCBUSD,2021_02_27__21_37_16,47136
BTCBUSD,2021_02_27__21_37_17,47136
BTCBUSD,2021_02_27__21_37_18,47140
BTCBUSD,2021_02_27__21_37_19,47141
BTCBUSD,2021_02_27__21_37_20,47141
BTCBUSD,2021_02_27__21_37_21,47141
BTCBUSD,2021_02_27__21_37_22,47143
BTCBUSD,2021_02_27__21_37_23,47143
BTCBUSD,2021_02_27__21_37_24,47145
BTCBUSD,2021_02_27__21_37_25,47145
BTCBUSD,2021_02_27__21_37_26,47156
BTCBUSD,2021_02_27__21_37_27,47159
BTCBUSD,2021_02_27__21_37_28,47163
BTCBUSD,2021_02_27__21_37_29,47163
BTCBUSD,2021_02_27__21_37_30,47163
BTCBUSD,2021_02_27__21_37_31,47163
BTCBUSD,2021_02_27__21_37_32,47147
BTCBUSD,2021_02_27__21_37_33,47144
BTCBUSD,2021_02_27__21_37_34,47144
BTCBUSD,2021_02_27__21_37_35,47144
BTCBUSD,2021_02_27__21_37_36,47144
BTCBUSD,2021_02_27__21_37_37,47144
BTCBUSD,2021_02_27__21_37_38,47144
BTCBUSD,2021_02_27__21_37_39,47144
BTCBUSD,2021_02_27__21_37_40,47144
BTCBUSD,2021_02_27__21_37_41,47144
BTCBUSD,2021_02_27__21_37_42,47146
BTCBUSD,2021_02_27__21_37_43,47146
BTCBUSD,2021_02_27__21_37_44,47146
BTCBUSD,2021_02_27__21_37_45,47146
BTCBUSD,2021_02_27__21_37_46,47146
BTCBUSD,2021_02_27__21_37_47,47146
BTCBUSD,2021_02_27__21_37_48,47146
BTCBUSD,2021_02_27__21_37_49,47146
BTCBUSD,2021_02_27__21_37_50,47146
BTCBUSD,2021_02_27__21_37_51,47146
BTCBUSD,2021_02_27__21_37_52,47146
BTCBUSD,2021_02_27__21_37_53,47146
BTCBUSD,2021_02_27__21_37_54,47146
BTCBUSD,2021_02_27__21_37_55,47149
BTCBUSD,2021_02_27__21_37_56,47154
BTCBUSD,2021_02_27__21_37_57,47155
BTCBUSD,2021_02_27__21_37_58,47157
BTCBUSD,2021_02_27__21_37_59,47155
BTCBUSD,2021_02_27__21_38_00,47155
BTCBUSD,2021_02_27__21_38_01,47155
BTCBUSD,2021_02_27__21_38_02,47155
BTCBUSD,2021_02_27__21_38_03,47155
BTCBUSD,2021_02_27__21_38_04,47159
BTCBUSD,2021_02_27__21_38_05,47167
BTCBUSD,2021_02_27__21_38_06,47167
BTCBUSD,2021_02_27__21_38_07,47167
BTCBUSD,2021_02_27__21_38_08,47167
BTCBUSD,2021_02_27__21_38_09,47167
BTCBUSD,2021_02_27__21_38_10,47167
BTCBUSD,2021_02_27__21_38_11,47167
BTCBUSD,2021_02_27__21_38_12,47167
BTCBUSD,2021_02_27__21_38_13,47167
BTCBUSD,2021_02_27__21_38_14,47167
BTCBUSD,2021_02_27__21_38_15,47167
BTCBUSD,2021_02_27__21_38_16,47167
BTCBUSD,2021_02_27__21_38_17,47167
BTCBUSD,2021_02_27__21_38_18,47167
BTCBUSD,2021_02_27__21_38_19,47167
BTCBUSD,2021_02_27__21_38_20,47172
BTCBUSD,2021_02_27__21_38_21,47172
BTCBUSD,2021_02_27__21_38_22,47172
BTCBUSD,2021_02_27__21_38_23,47172
BTCBUSD,2021_02_27__21_38_24,47169
BTCBUSD,2021_02_27__21_38_25,47176
BTCBUSD,2021_02_27__21_38_26,47176
BTCBUSD,2021_02_27__21_38_27,47174
BTCBUSD,2021_02_27__21_38_28,47174
BTCBUSD,2021_02_27__21_38_29,47174
BTCBUSD,2021_02_27__21_38_30,47171
BTCBUSD,2021_02_27__21_38_31,47171
BTCBUSD,2021_02_27__21_38_32,47171
BTCBUSD,2021_02_27__21_38_33,47168
BTCBUSD,2021_02_27__21_38_34,47151
BTCBUSD,2021_02_27__21_38_35,47151
BTCBUSD,2021_02_27__21_38_36,47149
BTCBUSD,2021_02_27__21_38_37,47129
BTCBUSD,2021_02_27__21_38_38,47142
BTCBUSD,2021_02_27__21_38_39,47142
BTCBUSD,2021_02_27__21_38_40,47144
BTCBUSD,2021_02_27__21_38_41,47141
BTCBUSD,2021_02_27__21_38_42,47141
BTCBUSD,2021_02_27__21_38_43,47144
BTCBUSD,2021_02_27__21_38_44,47144
BTCBUSD,2021_02_27__21_38_45,47143
BTCBUSD,2021_02_27__21_38_46,47143
BTCBUSD,2021_02_27__21_38_47,47143
BTCBUSD,2021_02_27__21_38_48,47143
BTCBUSD,2021_02_27__21_38_49,47143
BTCBUSD,2021_02_27__21_38_50,47143
BTCBUSD,2021_02_27__21_38_51,47157
BTCBUSD,2021_02_27__21_38_52,47157
BTCBUSD,2021_02_27__21_38_53,47157
BTCBUSD,2021_02_27__21_38_54,47157
BTCBUSD,2021_02_27__21_38_55,47157
BTCBUSD,2021_02_27__21_38_56,47157
BTCBUSD,2021_02_27__21_38_57,47157
BTCBUSD,2021_02_27__21_38_58,47172
BTCBUSD,2021_02_27__21_38_59,47166
BTCBUSD,2021_02_27__21_39_00,47166
BTCBUSD,2021_02_27__21_39_01,47166
BTCBUSD,2021_02_27__21_39_02,47166
BTCBUSD,2021_02_27__21_39_03,47170
BTCBUSD,2021_02_27__21_39_04,47170
BTCBUSD,2021_02_27__21_39_05,47170
BTCBUSD,2021_02_27__21_39_06,47170
BTCBUSD,2021_02_27__21_39_07,47170
BTCBUSD,2021_02_27__21_39_08,47166
BTCBUSD,2021_02_27__21_39_09,47166
BTCBUSD,2021_02_27__21_39_10,47166
BTCBUSD,2021_02_27__21_39_11,47166
BTCBUSD,2021_02_27__21_39_12,47166
BTCBUSD,2021_02_27__21_39_13,47170
BTCBUSD,2021_02_27__21_39_14,47170
BTCBUSD,2021_02_27__21_39_15,47170
BTCBUSD,2021_02_27__21_39_16,47170
BTCBUSD,2021_02_27__21_39_17,47170
BTCBUSD,2021_02_27__21_39_18,47170
BTCBUSD,2021_02_27__21_39_19,47170
BTCBUSD,2021_02_27__21_39_20,47168
BTCBUSD,2021_02_27__21_39_21,47168
BTCBUSD,2021_02_27__21_39_22,47168
BTCBUSD,2021_02_27__21_39_23,47168
BTCBUSD,2021_02_27__21_39_24,47168
BTCBUSD,2021_02_27__21_39_25,47164
BTCBUSD,2021_02_27__21_39_26,47164
BTCBUSD,2021_02_27__21_39_27,47166
BTCBUSD,2021_02_27__21_39_28,47166
BTCBUSD,2021_02_27__21_39_29,47166
BTCBUSD,2021_02_27__21_39_30,47166
BTCBUSD,2021_02_27__21_39_31,47168
BTCBUSD,2021_02_27__21_39_32,47168
BTCBUSD,2021_02_27__21_39_33,47168
BTCBUSD,2021_02_27__21_39_34,47168
BTCBUSD,2021_02_27__21_39_35,47168
BTCBUSD,2021_02_27__21_39_36,47170
BTCBUSD,2021_02_27__21_39_37,47170
BTCBUSD,2021_02_27__21_39_38,47170
