TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:16:59,45552.83000000,1453.00000000,169.66000000,1.28687000,119.78000000,1.14310000
2021-02-28 00:17:00,45569.54000000,1453.38000000,169.75000000,1.28802000,119.78000000,1.14310000
2021-02-28 00:17:01,45567.97000000,1452.88000000,169.75000000,1.28880000,119.78000000,1.14310000
2021-02-28 00:17:02,45549.26000000,1452.77000000,169.71000000,1.28580000,119.78000000,1.14310000
2021-02-28 00:17:03,45550.83000000,1452.68000000,169.71000000,1.28511000,119.78000000,1.14310000
2021-02-28 00:17:04,45552.16000000,1452.61000000,169.71000000,1.28511000,119.78000000,1.14310000
2021-02-28 00:17:05,45562.96000000,1452.88000000,169.56000000,1.28623000,119.78000000,1.14310000
2021-02-28 00:17:06,45552.28000000,1452.55000000,169.59000000,1.28667000,119.78000000,1.14310000
2021-02-28 00:17:07,45533.98000000,1452.11000000,169.57000000,1.28502000,119.78000000,1.14310000
2021-02-28 00:17:08,45517.69000000,1451.73000000,169.48000000,1.28502000,119.78000000,1.14310000
